date,CAN_unscaled,CAN_monthly,isPartial,scale,CAN
2017-11-16,92,64.0,,0.64,58.88
2017-11-17,91,64.0,,0.64,58.24
2017-11-18,92,64.0,,0.64,58.88
2017-11-19,96,64.0,,0.64,61.44
2017-11-20,94,64.0,,0.64,60.160000000000004
2017-11-21,96,64.0,,0.64,61.44
2017-11-22,100,64.0,,0.64,64.0
2017-11-23,100,64.0,,0.64,64.0
2017-11-24,85,64.0,,0.64,54.4
2017-11-25,92,64.0,,0.64,58.88
2017-11-26,99,64.0,,0.64,63.36
2017-11-27,89,64.0,,0.64,56.96
2017-11-28,99,64.0,,0.64,63.36
2017-11-29,95,64.0,,0.64,60.800000000000004
2017-11-30,92,64.0,,0.64,58.88
2017-12-01,89,66.0,False,0.66,58.74
2017-12-02,94,66.0,,0.66,62.040000000000006
2017-12-03,94,66.0,,0.66,62.040000000000006
2017-12-04,90,66.0,,0.66,59.400000000000006
2017-12-05,91,66.0,,0.66,60.06
2017-12-06,92,66.0,,0.66,60.720000000000006
2017-12-07,89,66.0,,0.66,58.74
2017-12-08,90,66.0,,0.66,59.400000000000006
2017-12-09,94,66.0,,0.66,62.040000000000006
2017-12-10,94,66.0,,0.66,62.040000000000006
2017-12-11,91,66.0,,0.66,60.06
2017-12-12,92,66.0,,0.66,60.720000000000006
2017-12-13,90,66.0,,0.66,59.400000000000006
2017-12-14,93,66.0,,0.66,61.38
2017-12-15,87,66.0,,0.66,57.42
2017-12-16,90,66.0,,0.66,59.400000000000006
2017-12-17,92,66.0,,0.66,60.720000000000006
2017-12-18,87,66.0,,0.66,57.42
