date,MF_unscaled,MF_monthly,isPartial,scale,MF
2017-08-21,62,13.0,,0.13,8.06
2017-08-22,80,13.0,,0.13,10.4
2017-08-23,82,13.0,,0.13,10.66
2017-08-24,86,13.0,,0.13,11.18
2017-08-25,70,13.0,,0.13,9.1
2017-08-26,48,13.0,,0.13,6.24
2017-08-27,63,13.0,,0.13,8.19
2017-08-28,52,13.0,,0.13,6.76
2017-08-29,77,13.0,,0.13,10.01
2017-08-30,66,13.0,,0.13,8.58
2017-08-31,73,13.0,,0.13,9.49
2017-09-01,85,12.0,False,0.12,10.2
2017-09-02,81,12.0,,0.12,9.719999999999999
2017-09-03,76,12.0,,0.12,9.12
2017-09-04,74,12.0,,0.12,8.879999999999999
2017-09-05,74,12.0,,0.12,8.879999999999999
2017-09-06,82,12.0,,0.12,9.84
2017-09-07,77,12.0,,0.12,9.24
2017-09-08,79,12.0,,0.12,9.48
2017-09-09,100,12.0,,0.12,12.0
2017-09-10,77,12.0,,0.12,9.24
2017-09-11,57,12.0,,0.12,6.84
2017-09-12,71,12.0,,0.12,8.52
2017-09-13,76,12.0,,0.12,9.12
2017-09-14,69,12.0,,0.12,8.28
2017-09-15,78,12.0,,0.12,9.36
2017-09-16,63,12.0,,0.12,7.56
2017-09-17,86,12.0,,0.12,10.32
2017-09-18,72,12.0,,0.12,8.64
2017-09-19,80,12.0,,0.12,9.6
2017-09-20,79,12.0,,0.12,9.48
2017-09-21,81,12.0,,0.12,9.719999999999999
2017-09-22,66,12.0,,0.12,7.92
2017-09-23,76,12.0,,0.12,9.12
2017-09-24,74,12.0,,0.12,8.879999999999999
2017-09-25,72,12.0,,0.12,8.64
2017-09-26,80,12.0,,0.12,9.6
2017-09-27,81,12.0,,0.12,9.719999999999999
2017-09-28,78,12.0,,0.12,9.36
2017-09-29,81,12.0,,0.12,9.719999999999999
2017-09-30,70,12.0,,0.12,8.4
2017-10-01,77,11.0,False,0.11,8.47
2017-10-02,81,11.0,,0.11,8.91
2017-10-03,59,11.0,,0.11,6.49
2017-10-04,68,11.0,,0.11,7.48
2017-10-05,80,11.0,,0.11,8.8
2017-10-06,100,11.0,,0.11,11.0
2017-10-07,82,11.0,,0.11,9.02
2017-10-08,64,11.0,,0.11,7.04
2017-10-09,78,11.0,,0.11,8.58
2017-10-10,88,11.0,,0.11,9.68
2017-10-11,80,11.0,,0.11,8.8
2017-10-12,78,11.0,,0.11,8.58
2017-10-13,81,11.0,,0.11,8.91
2017-10-14,67,11.0,,0.11,7.37
2017-10-15,92,11.0,,0.11,10.12
2017-10-16,73,11.0,,0.11,8.03
2017-10-17,65,11.0,,0.11,7.15
2017-10-18,77,11.0,,0.11,8.47
2017-10-19,74,11.0,,0.11,8.14
2017-10-20,98,11.0,,0.11,10.78
2017-10-21,70,11.0,,0.11,7.7
2017-10-22,70,11.0,,0.11,7.7
2017-10-23,73,11.0,,0.11,8.03
2017-10-24,67,11.0,,0.11,7.37
2017-10-25,76,11.0,,0.11,8.36
2017-10-26,75,11.0,,0.11,8.25
2017-10-27,74,11.0,,0.11,8.14
2017-10-28,76,11.0,,0.11,8.36
2017-10-29,74,11.0,,0.11,8.14
2017-10-30,51,11.0,,0.11,5.61
2017-10-31,68,11.0,,0.11,7.48
2017-11-01,80,11.0,False,0.11,8.8
2017-11-02,92,11.0,,0.11,10.12
2017-11-03,94,11.0,,0.11,10.34
2017-11-04,76,11.0,,0.11,8.36
2017-11-05,82,11.0,,0.11,9.02
2017-11-06,80,11.0,,0.11,8.8
2017-11-07,91,11.0,,0.11,10.01
2017-11-08,100,11.0,,0.11,11.0
2017-11-09,92,11.0,,0.11,10.12
2017-11-10,80,11.0,,0.11,8.8
2017-11-11,72,11.0,,0.11,7.92
2017-11-12,76,11.0,,0.11,8.36
2017-11-13,89,11.0,,0.11,9.790000000000001
2017-11-14,89,11.0,,0.11,9.790000000000001
2017-11-15,78,11.0,,0.11,8.58
2017-11-16,98,11.0,,0.11,10.78
2017-11-17,99,11.0,,0.11,10.89
2017-11-18,73,11.0,,0.11,8.03
2017-11-19,83,11.0,,0.11,9.13
2017-11-20,85,11.0,,0.11,9.35
2017-11-21,96,11.0,,0.11,10.56
2017-11-22,78,11.0,,0.11,8.58
2017-11-23,80,11.0,,0.11,8.8
2017-11-24,70,11.0,,0.11,7.7
2017-11-25,79,11.0,,0.11,8.69
2017-11-26,88,11.0,,0.11,9.68
2017-11-27,77,11.0,,0.11,8.47
2017-11-28,83,11.0,,0.11,9.13
2017-11-29,91,11.0,,0.11,10.01
2017-11-30,93,11.0,,0.11,10.23
2017-12-01,32,13.0,False,0.13,4.16
2017-12-02,35,13.0,,0.13,4.55
2017-12-03,31,13.0,,0.13,4.03
2017-12-04,41,13.0,,0.13,5.33
2017-12-05,46,13.0,,0.13,5.98
2017-12-06,53,13.0,,0.13,6.890000000000001
2017-12-07,44,13.0,,0.13,5.720000000000001
2017-12-08,37,13.0,,0.13,4.8100000000000005
2017-12-09,46,13.0,,0.13,5.98
2017-12-10,46,13.0,,0.13,5.98
2017-12-11,46,13.0,,0.13,5.98
2017-12-12,45,13.0,,0.13,5.8500000000000005
2017-12-13,38,13.0,,0.13,4.94
2017-12-14,45,13.0,,0.13,5.8500000000000005
2017-12-15,39,13.0,,0.13,5.07
2017-12-16,36,13.0,,0.13,4.68
2017-12-17,43,13.0,,0.13,5.59
2017-12-18,53,13.0,,0.13,6.890000000000001
2017-12-19,100,13.0,,0.13,13.0
2017-12-20,64,13.0,,0.13,8.32
2017-12-21,53,13.0,,0.13,6.890000000000001
2017-12-22,43,13.0,,0.13,5.59
2017-12-23,44,13.0,,0.13,5.720000000000001
2017-12-24,34,13.0,,0.13,4.42
2017-12-25,37,13.0,,0.13,4.8100000000000005
