date,ACB_unscaled,ACB_monthly,isPartial,scale,ACB
2017-09-21,50,3.0,,0.03,1.5
2017-09-22,34,3.0,,0.03,1.02
2017-09-23,41,3.0,,0.03,1.23
2017-09-24,10,3.0,,0.03,0.3
2017-09-25,100,3.0,,0.03,3.0
2017-09-26,66,3.0,,0.03,1.98
2017-09-27,50,3.0,,0.03,1.5
2017-09-28,75,3.0,,0.03,2.25
2017-09-29,51,3.0,,0.03,1.53
2017-09-30,41,3.0,,0.03,1.23
2017-10-01,57,3.0,False,0.03,1.71
2017-10-02,45,3.0,,0.03,1.3499999999999999
2017-10-03,53,3.0,,0.03,1.5899999999999999
2017-10-04,81,3.0,,0.03,2.4299999999999997
2017-10-05,41,3.0,,0.03,1.23
2017-10-06,35,3.0,,0.03,1.05
2017-10-07,40,3.0,,0.03,1.2
2017-10-08,63,3.0,,0.03,1.89
2017-10-09,20,3.0,,0.03,0.6
2017-10-10,72,3.0,,0.03,2.16
2017-10-11,100,3.0,,0.03,3.0
2017-10-12,81,3.0,,0.03,2.4299999999999997
2017-10-13,69,3.0,,0.03,2.07
2017-10-14,81,3.0,,0.03,2.4299999999999997
2017-10-15,95,3.0,,0.03,2.85
2017-10-16,27,3.0,,0.03,0.8099999999999999
2017-10-17,41,3.0,,0.03,1.23
2017-10-18,54,3.0,,0.03,1.6199999999999999
2017-10-19,49,3.0,,0.03,1.47
2017-10-20,56,3.0,,0.03,1.68
2017-10-21,33,3.0,,0.03,0.99
2017-10-22,24,3.0,,0.03,0.72
2017-10-23,33,3.0,,0.03,0.99
2017-10-24,53,3.0,,0.03,1.5899999999999999
2017-10-25,87,3.0,,0.03,2.61
2017-10-26,61,3.0,,0.03,1.8299999999999998
2017-10-27,49,3.0,,0.03,1.47
2017-10-28,57,3.0,,0.03,1.71
2017-10-29,56,3.0,,0.03,1.68
2017-10-30,26,3.0,,0.03,0.78
2017-10-31,96,3.0,,0.03,2.88
2017-11-01,63,4.0,False,0.04,2.52
2017-11-02,25,4.0,,0.04,1.0
2017-11-03,26,4.0,,0.04,1.04
2017-11-04,0,4.0,,0.04,0.0
2017-11-05,24,4.0,,0.04,0.96
2017-11-06,35,4.0,,0.04,1.4000000000000001
2017-11-07,66,4.0,,0.04,2.64
2017-11-08,60,4.0,,0.04,2.4
2017-11-09,51,4.0,,0.04,2.04
2017-11-10,82,4.0,,0.04,3.2800000000000002
2017-11-11,37,4.0,,0.04,1.48
2017-11-12,24,4.0,,0.04,0.96
2017-11-13,55,4.0,,0.04,2.2
2017-11-14,91,4.0,,0.04,3.64
2017-11-15,66,4.0,,0.04,2.64
2017-11-16,81,4.0,,0.04,3.24
2017-11-17,68,4.0,,0.04,2.72
2017-11-18,24,4.0,,0.04,0.96
2017-11-19,31,4.0,,0.04,1.24
2017-11-20,47,4.0,,0.04,1.8800000000000001
2017-11-21,48,4.0,,0.04,1.92
2017-11-22,50,4.0,,0.04,2.0
2017-11-23,98,4.0,,0.04,3.92
2017-11-24,71,4.0,,0.04,2.84
2017-11-25,60,4.0,,0.04,2.4
2017-11-26,24,4.0,,0.04,0.96
2017-11-27,100,4.0,,0.04,4.0
2017-11-28,74,4.0,,0.04,2.96
2017-11-29,75,4.0,,0.04,3.0
2017-11-30,92,4.0,,0.04,3.68
2017-12-01,70,4.0,False,0.04,2.8000000000000003
2017-12-02,62,4.0,,0.04,2.48
2017-12-03,22,4.0,,0.04,0.88
2017-12-04,69,4.0,,0.04,2.7600000000000002
2017-12-05,100,4.0,,0.04,4.0
2017-12-06,60,4.0,,0.04,2.4
2017-12-07,70,4.0,,0.04,2.8000000000000003
2017-12-08,33,4.0,,0.04,1.32
2017-12-09,84,4.0,,0.04,3.36
2017-12-10,56,4.0,,0.04,2.24
2017-12-11,73,4.0,,0.04,2.92
2017-12-12,69,4.0,,0.04,2.7600000000000002
2017-12-13,51,4.0,,0.04,2.04
2017-12-14,80,4.0,,0.04,3.2
2017-12-15,78,4.0,,0.04,3.12
2017-12-16,51,4.0,,0.04,2.04
2017-12-17,17,4.0,,0.04,0.68
2017-12-18,67,4.0,,0.04,2.68
2017-12-19,44,4.0,,0.04,1.76
2017-12-20,40,4.0,,0.04,1.6
2017-12-21,46,4.0,,0.04,1.84
2017-12-22,38,4.0,,0.04,1.52
