date,INTC_unscaled,INTC_monthly,isPartial,scale,INTC
2017-07-11,42,35.0,,0.35,14.7
2017-07-12,48,35.0,,0.35,16.799999999999997
2017-07-13,35,35.0,,0.35,12.25
2017-07-14,37,35.0,,0.35,12.95
2017-07-15,13,35.0,,0.35,4.55
2017-07-16,13,35.0,,0.35,4.55
2017-07-17,33,35.0,,0.35,11.549999999999999
2017-07-18,31,35.0,,0.35,10.85
2017-07-19,42,35.0,,0.35,14.7
2017-07-20,26,35.0,,0.35,9.1
2017-07-21,39,35.0,,0.35,13.649999999999999
2017-07-22,4,35.0,,0.35,1.4
2017-07-23,6,35.0,,0.35,2.0999999999999996
2017-07-24,39,35.0,,0.35,13.649999999999999
2017-07-25,36,35.0,,0.35,12.6
2017-07-26,40,35.0,,0.35,14.0
2017-07-27,86,35.0,,0.35,30.099999999999998
2017-07-28,100,35.0,,0.35,35.0
2017-07-29,18,35.0,,0.35,6.3
2017-07-30,3,35.0,,0.35,1.0499999999999998
2017-07-31,34,35.0,,0.35,11.899999999999999
2017-08-01,100,34.0,False,0.34,34.0
2017-08-02,87,34.0,,0.34,29.580000000000002
2017-08-03,69,34.0,,0.34,23.46
2017-08-04,72,34.0,,0.34,24.48
2017-08-05,17,34.0,,0.34,5.78
2017-08-06,6,34.0,,0.34,2.04
2017-08-07,54,34.0,,0.34,18.360000000000003
2017-08-08,58,34.0,,0.34,19.720000000000002
2017-08-09,56,34.0,,0.34,19.040000000000003
2017-08-10,54,34.0,,0.34,18.360000000000003
2017-08-11,56,34.0,,0.34,19.040000000000003
2017-08-12,15,34.0,,0.34,5.1000000000000005
2017-08-13,15,34.0,,0.34,5.1000000000000005
2017-08-14,48,34.0,,0.34,16.32
2017-08-15,62,34.0,,0.34,21.080000000000002
2017-08-16,86,34.0,,0.34,29.240000000000002
2017-08-17,45,34.0,,0.34,15.3
2017-08-18,58,34.0,,0.34,19.720000000000002
2017-08-19,21,34.0,,0.34,7.140000000000001
2017-08-20,17,34.0,,0.34,5.78
2017-08-21,51,34.0,,0.34,17.34
2017-08-22,70,34.0,,0.34,23.8
2017-08-23,57,34.0,,0.34,19.380000000000003
2017-08-24,71,34.0,,0.34,24.14
2017-08-25,56,34.0,,0.34,19.040000000000003
2017-08-26,10,34.0,,0.34,3.4000000000000004
2017-08-27,6,34.0,,0.34,2.04
2017-08-28,57,34.0,,0.34,19.380000000000003
2017-08-29,50,34.0,,0.34,17.0
2017-08-30,56,34.0,,0.34,19.040000000000003
2017-08-31,37,34.0,,0.34,12.58
2017-09-01,56,33.0,False,0.33,18.48
2017-09-02,12,33.0,,0.33,3.96
2017-09-03,8,33.0,,0.33,2.64
2017-09-04,16,33.0,,0.33,5.28
2017-09-05,38,33.0,,0.33,12.540000000000001
2017-09-06,61,33.0,,0.33,20.130000000000003
2017-09-07,46,33.0,,0.33,15.180000000000001
2017-09-08,43,33.0,,0.33,14.190000000000001
2017-09-09,13,33.0,,0.33,4.29
2017-09-10,4,33.0,,0.33,1.32
2017-09-11,32,33.0,,0.33,10.56
2017-09-12,53,33.0,,0.33,17.490000000000002
2017-09-13,64,33.0,,0.33,21.12
2017-09-14,63,33.0,,0.33,20.790000000000003
2017-09-15,71,33.0,,0.33,23.43
2017-09-16,25,33.0,,0.33,8.25
2017-09-17,15,33.0,,0.33,4.95
2017-09-18,89,33.0,,0.33,29.37
2017-09-19,84,33.0,,0.33,27.720000000000002
2017-09-20,59,33.0,,0.33,19.470000000000002
2017-09-21,56,33.0,,0.33,18.48
2017-09-22,53,33.0,,0.33,17.490000000000002
2017-09-23,22,33.0,,0.33,7.260000000000001
2017-09-24,8,33.0,,0.33,2.64
2017-09-25,51,33.0,,0.33,16.830000000000002
2017-09-26,58,33.0,,0.33,19.14
2017-09-27,100,33.0,,0.33,33.0
2017-09-28,61,33.0,,0.33,20.130000000000003
2017-09-29,71,33.0,,0.33,23.43
2017-09-30,18,33.0,,0.33,5.94
2017-10-01,5,66.0,False,0.66,3.3000000000000003
2017-10-02,31,66.0,,0.66,20.46
2017-10-03,40,66.0,,0.66,26.400000000000002
2017-10-04,27,66.0,,0.66,17.82
2017-10-05,31,66.0,,0.66,20.46
2017-10-06,26,66.0,,0.66,17.16
2017-10-07,7,66.0,,0.66,4.62
2017-10-08,2,66.0,,0.66,1.32
2017-10-09,20,66.0,,0.66,13.200000000000001
2017-10-10,26,66.0,,0.66,17.16
2017-10-11,23,66.0,,0.66,15.180000000000001
2017-10-12,20,66.0,,0.66,13.200000000000001
2017-10-13,11,66.0,,0.66,7.260000000000001
2017-10-14,6,66.0,,0.66,3.96
2017-10-15,6,66.0,,0.66,3.96
2017-10-16,24,66.0,,0.66,15.84
2017-10-17,28,66.0,,0.66,18.48
2017-10-18,35,66.0,,0.66,23.1
2017-10-19,24,66.0,,0.66,15.84
2017-10-20,20,66.0,,0.66,13.200000000000001
2017-10-21,9,66.0,,0.66,5.94
2017-10-22,4,66.0,,0.66,2.64
2017-10-23,30,66.0,,0.66,19.8
2017-10-24,33,66.0,,0.66,21.78
2017-10-25,30,66.0,,0.66,19.8
2017-10-26,74,66.0,,0.66,48.84
2017-10-27,100,66.0,,0.66,66.0
2017-10-28,20,66.0,,0.66,13.200000000000001
2017-10-29,8,66.0,,0.66,5.28
2017-10-30,48,66.0,,0.66,31.68
2017-10-31,64,66.0,,0.66,42.24
2017-11-01,100,57.0,False,0.57,56.99999999999999
2017-11-02,94,57.0,,0.57,53.58
2017-11-03,83,57.0,,0.57,47.309999999999995
2017-11-04,21,57.0,,0.57,11.969999999999999
2017-11-05,22,57.0,,0.57,12.54
2017-11-06,81,57.0,,0.57,46.169999999999995
2017-11-07,70,57.0,,0.57,39.9
2017-11-08,59,57.0,,0.57,33.629999999999995
2017-11-09,66,57.0,,0.57,37.62
2017-11-10,55,57.0,,0.57,31.349999999999998
2017-11-11,19,57.0,,0.57,10.829999999999998
2017-11-12,8,57.0,,0.57,4.56
2017-11-13,48,57.0,,0.57,27.36
2017-11-14,49,57.0,,0.57,27.929999999999996
2017-11-15,40,57.0,,0.57,22.799999999999997
2017-11-16,44,57.0,,0.57,25.08
2017-11-17,49,57.0,,0.57,27.929999999999996
2017-11-18,21,57.0,,0.57,11.969999999999999
2017-11-19,12,57.0,,0.57,6.84
2017-11-20,38,57.0,,0.57,21.659999999999997
2017-11-21,50,57.0,,0.57,28.499999999999996
2017-11-22,46,57.0,,0.57,26.22
2017-11-23,23,57.0,,0.57,13.11
2017-11-24,23,57.0,,0.57,13.11
2017-11-25,9,57.0,,0.57,5.13
2017-11-26,8,57.0,,0.57,4.56
2017-11-27,30,57.0,,0.57,17.099999999999998
2017-11-28,39,57.0,,0.57,22.229999999999997
2017-11-29,57,57.0,,0.57,32.489999999999995
2017-11-30,55,57.0,,0.57,31.349999999999998
2017-12-01,67,39.0,False,0.39,26.130000000000003
2017-12-02,23,39.0,,0.39,8.97
2017-12-03,10,39.0,,0.39,3.9000000000000004
2017-12-04,63,39.0,,0.39,24.57
2017-12-05,57,39.0,,0.39,22.23
2017-12-06,72,39.0,,0.39,28.080000000000002
