date,ZM_unscaled,ZM_monthly,isPartial,scale,ZM
2017-11-19,50,4.0,,0.04,2.0
2017-11-20,42,4.0,,0.04,1.68
2017-11-21,35,4.0,,0.04,1.4000000000000001
2017-11-22,27,4.0,,0.04,1.08
2017-11-23,100,4.0,,0.04,4.0
2017-11-24,38,4.0,,0.04,1.52
2017-11-25,58,4.0,,0.04,2.32
2017-11-26,58,4.0,,0.04,2.32
2017-11-27,70,4.0,,0.04,2.8000000000000003
2017-11-28,56,4.0,,0.04,2.24
2017-11-29,65,4.0,,0.04,2.6
2017-11-30,33,4.0,,0.04,1.32
2017-12-01,75,3.0,False,0.03,2.25
2017-12-02,40,3.0,,0.03,1.2
2017-12-03,29,3.0,,0.03,0.87
2017-12-04,49,3.0,,0.03,1.47
2017-12-05,32,3.0,,0.03,0.96
2017-12-06,66,3.0,,0.03,1.98
2017-12-07,25,3.0,,0.03,0.75
2017-12-08,76,3.0,,0.03,2.28
2017-12-09,100,3.0,,0.03,3.0
2017-12-10,80,3.0,,0.03,2.4
2017-12-11,32,3.0,,0.03,0.96
2017-12-12,49,3.0,,0.03,1.47
2017-12-13,33,3.0,,0.03,0.99
2017-12-14,84,3.0,,0.03,2.52
2017-12-15,52,3.0,,0.03,1.56
2017-12-16,20,3.0,,0.03,0.6
2017-12-17,40,3.0,,0.03,1.2
2017-12-18,34,3.0,,0.03,1.02
2017-12-19,52,3.0,,0.03,1.56
2017-12-20,36,3.0,,0.03,1.08
2017-12-21,37,3.0,,0.03,1.1099999999999999
2017-12-22,48,3.0,,0.03,1.44
2017-12-23,21,3.0,,0.03,0.63
2017-12-24,33,3.0,,0.03,0.99
2017-12-25,47,3.0,,0.03,1.41
2017-12-26,89,3.0,,0.03,2.67
2017-12-27,9,3.0,,0.03,0.27
2017-12-28,9,3.0,,0.03,0.27
2017-12-29,66,3.0,,0.03,1.98
